Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage
夏季,30,3,9.0,1.0,0.1,3,0.2,4,0.8151,1.1162,0.3304,0.8367,522.88,4_Opt_DecExtra
夏季,30,3,9.0,1.0,0.1,5,0.2,4,0.8264,1.1364,0.328,0.8293,507.46,4_Opt_DecExtra
夏季,30,3,9.0,1.0,0.1,7,0.2,4,0.7937,1.0762,0.3314,0.8474,482.1,4_Opt_DecExtra
夏季,30,3,9.0,1.0,0.1,9,0.2,4,0.808,1.0888,0.3436,0.8416,462.8,4_Opt_DecExtra
夏季,30,3,9.0,1.0,0.1,11,0.2,4,0.8071,1.0975,0.3184,0.8393,386.45,4_Opt_DecExtra
夏季,30,3,9.0,0.1,0.1,7,0.2,4,0.7948,1.0775,0.3341,0.8472,322.66,5_Opt_RmseWeight
夏季,30,3,9.0,0.5,0.1,7,0.2,4,0.8096,1.088,0.3542,0.8452,377.6,5_Opt_RmseWeight
夏季,30,3,9.0,1.0,0.1,7,0.2,4,0.7937,1.0762,0.3314,0.8474,482.1,5_Opt_RmseWeight
夏季,30,3,9.0,1.5,0.1,7,0.2,4,0.7952,1.079,0.3303,0.8467,426.25,5_Opt_RmseWeight
夏季,30,3,9.0,2.0,0.1,7,0.2,4,0.8206,1.1213,0.3142,0.8365,450.91,5_Opt_RmseWeight
夏季,30,3,9.0,1.0,0.01,7,0.2,4,0.8119,1.1135,0.3223,0.8352,488.54,6_Opt_MmdWeight
夏季,30,3,9.0,1.0,0.05,7,0.2,4,0.7979,1.0861,0.3221,0.8452,486.23,6_Opt_MmdWeight
夏季,30,3,9.0,1.0,0.1,7,0.2,4,0.7937,1.0762,0.3314,0.8474,482.1,6_Opt_MmdWeight
夏季,30,3,9.0,1.0,0.2,7,0.2,4,0.7971,1.0842,0.331,0.8446,503.0,6_Opt_MmdWeight
夏季,30,3,9.0,1.0,0.5,7,0.2,4,0.8103,1.1033,0.3176,0.84,510.99,6_Opt_MmdWeight
夏季,30,3,9.0,1.0,0.1,7,0.1,10,0.8378,1.1368,0.3376,0.8306,494.33,7_Opt_MicThreshold
夏季,30,3,9.0,1.0,0.1,7,0.15,5,0.8574,1.1581,0.3407,0.8215,510.76,7_Opt_MicThreshold
夏季,30,3,9.0,1.0,0.1,7,0.2,4,0.7937,1.0762,0.3314,0.8474,482.1,7_Opt_MicThreshold
夏季,30,3,9.0,1.0,0.1,7,0.25,3,1.0347,1.3583,0.3373,0.7617,500.11,7_Opt_MicThreshold
夏季,30,3,9.0,1.0,0.1,7,0.3,3,0.9157,1.2017,0.421,0.8143,489.13,7_Opt_MicThreshold
秋季,10,3,7.0,1.0,0.1,7,0.2,5,0.6916,0.9301,0.2997,0.9423,1150.0,1_Opt_Extend
秋季,15,3,7.0,1.0,0.1,7,0.2,5,0.6967,0.9318,0.2996,0.9422,443.97,1_Opt_Extend
秋季,20,3,7.0,1.0,0.1,7,0.2,5,0.6882,0.9297,0.3029,0.942,444.62,1_Opt_Extend
秋季,25,3,7.0,1.0,0.1,7,0.2,5,0.7059,0.9744,0.302,0.9344,437.78,1_Opt_Extend
秋季,30,3,7.0,1.0,0.1,7,0.2,5,0.6557,0.8925,0.2883,0.9448,469.04,1_Opt_Extend
秋季,30,1,7.0,1.0,0.1,7,0.2,5,0.6582,0.8885,0.2883,0.9459,498.9,2_Opt_Window
秋季,30,2,7.0,1.0,0.1,7,0.2,5,0.6635,0.9046,0.2888,0.943,512.67,2_Opt_Window
秋季,30,3,7.0,1.0,0.1,7,0.2,5,0.6557,0.8925,0.2883,0.9448,469.04,2_Opt_Window
秋季,30,4,7.0,1.0,0.1,7,0.2,5,0.6759,0.9135,0.3017,0.9427,469.66,2_Opt_Window
秋季,30,5,7.0,1.0,0.1,7,0.2,5,0.6598,0.8959,0.2904,0.9449,515.4,2_Opt_Window
秋季,30,3,3.0,1.0,0.1,7,0.2,5,0.6498,0.8821,0.2868,0.9459,477.27,3_Opt_Threshold
秋季,30,3,5.0,1.0,0.1,7,0.2,5,0.6535,0.8909,0.2878,0.9449,493.61,3_Opt_Threshold
秋季,30,3,7.0,1.0,0.1,7,0.2,5,0.6557,0.8925,0.2883,0.9448,469.04,3_Opt_Threshold
秋季,30,3,9.0,1.0,0.1,7,0.2,5,0.6539,0.8907,0.2876,0.9451,493.62,3_Opt_Threshold
秋季,30,3,11.0,1.0,0.1,7,0.2,5,0.653,0.8901,0.2875,0.9449,488.24,3_Opt_Threshold
秋季,30,3,3.0,1.0,0.1,3,0.2,5,0.7012,0.9532,0.3187,0.9383,512.98,4_Opt_DecExtra
秋季,30,3,3.0,1.0,0.1,5,0.2,5,0.7194,0.9695,0.3135,0.9367,490.67,4_Opt_DecExtra
秋季,30,3,3.0,1.0,0.1,7,0.2,5,0.6498,0.8821,0.2868,0.9459,477.27,4_Opt_DecExtra
秋季,30,3,3.0,1.0,0.1,9,0.2,5,0.6558,0.8819,0.292,0.9453,464.15,4_Opt_DecExtra
