Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage
春季,10,3,7.0,1.0,0.1,7,0.2,6,0.9506,1.3309,0.4468,0.9203,1186.06,1_Opt_Extend
春季,15,3,7.0,1.0,0.1,7,0.2,6,0.9154,1.2942,0.4308,0.9255,502.56,1_Opt_Extend
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,1_Opt_Extend
春季,25,3,7.0,1.0,0.1,7,0.2,6,0.9084,1.2817,0.4441,0.9272,479.17,1_Opt_Extend
春季,30,3,7.0,1.0,0.1,7,0.2,6,0.9885,1.3773,0.474,0.9169,501.44,1_Opt_Extend
春季,20,1,7.0,1.0,0.1,7,0.2,6,0.9553,1.3467,0.4424,0.9204,488.49,2_Opt_Window
春季,20,2,7.0,1.0,0.1,7,0.2,6,0.9087,1.2778,0.4397,0.9276,536.62,2_Opt_Window
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,2_Opt_Window
春季,20,4,7.0,1.0,0.1,7,0.2,6,0.9534,1.3418,0.4532,0.9201,509.8,2_Opt_Window
春季,20,5,7.0,1.0,0.1,7,0.2,6,0.9437,1.3228,0.4551,0.9223,495.21,2_Opt_Window
春季,20,3,3.0,1.0,0.1,7,0.2,6,0.9537,1.3474,0.4561,0.9184,499.38,3_Opt_Threshold
春季,20,3,5.0,1.0,0.1,7,0.2,6,0.9108,1.2888,0.4401,0.9261,481.33,3_Opt_Threshold
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,3_Opt_Threshold
春季,20,3,9.0,1.0,0.1,7,0.2,6,0.9118,1.2886,0.4425,0.9259,494.84,3_Opt_Threshold
春季,20,3,11.0,1.0,0.1,7,0.2,6,0.9547,1.3512,0.4533,0.9185,490.05,3_Opt_Threshold
春季,20,3,7.0,1.0,0.1,3,0.2,6,1.0189,1.3957,0.4932,0.9114,503.23,4_Opt_DecExtra
春季,20,3,7.0,1.0,0.1,5,0.2,6,0.9763,1.3756,0.458,0.9148,490.37,4_Opt_DecExtra
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,4_Opt_DecExtra
春季,20,3,7.0,1.0,0.1,9,0.2,6,0.9356,1.3144,0.4413,0.9218,465.74,4_Opt_DecExtra
春季,20,3,7.0,1.0,0.1,11,0.2,6,0.9677,1.3601,0.4576,0.9155,479.18,4_Opt_DecExtra
春季,20,3,7.0,0.1,0.1,7,0.2,6,0.9565,1.3523,0.4621,0.9194,480.95,5_Opt_RmseWeight
春季,20,3,7.0,0.5,0.1,7,0.2,6,0.948,1.3381,0.4565,0.9208,487.44,5_Opt_RmseWeight
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,5_Opt_RmseWeight
春季,20,3,7.0,1.5,0.1,7,0.2,6,0.967,1.3592,0.4644,0.9175,493.56,5_Opt_RmseWeight
春季,20,3,7.0,2.0,0.1,7,0.2,6,0.9519,1.3414,0.4531,0.9196,490.34,5_Opt_RmseWeight
春季,20,3,7.0,1.0,0.01,7,0.2,6,0.9772,1.3703,0.4598,0.9169,511.85,6_Opt_MmdWeight
春季,20,3,7.0,1.0,0.05,7,0.2,6,0.9128,1.2868,0.4364,0.9261,489.46,6_Opt_MmdWeight
春季,20,3,7.0,1.0,0.1,7,0.2,6,0.9069,1.2882,0.4375,0.9262,502.0,6_Opt_MmdWeight
春季,20,3,7.0,1.0,0.2,7,0.2,6,0.9057,1.2912,0.4372,0.9257,491.39,6_Opt_MmdWeight
春季,20,3,7.0,1.0,0.5,7,0.2,6,0.9335,1.3177,0.4494,0.9227,482.39,6_Opt_MmdWeight
春季,20,3,7.0,1.0,0.2,7,0.1,10,0.9406,1.2868,0.4512,0.9273,496.43,7_Opt_MicThreshold
春季,20,3,7.0,1.0,0.2,7,0.15,7,0.998,1.3663,0.472,0.9194,494.38,7_Opt_MicThreshold
春季,20,3,7.0,1.0,0.2,7,0.2,6,0.9057,1.2912,0.4372,0.9257,491.39,7_Opt_MicThreshold
春季,20,3,7.0,1.0,0.2,7,0.25,5,0.9519,1.3045,0.4729,0.9248,465.92,7_Opt_MicThreshold
春季,20,3,7.0,1.0,0.2,7,0.3,4,1.8913,2.1965,0.7047,0.826,481.78,7_Opt_MicThreshold
夏季,10,3,7.0,1.0,0.1,7,0.2,4,0.8526,1.1605,0.3395,0.8212,1221.96,1_Opt_Extend
