Season,Extend_Len,Window,Threshold,RMSE_Weight,MMD_Weight,Dec_Extra,MIC_Threshold,Map_Len,MAE,RMSE,MAPE,IA,Total_Time,Stage,
夏季,20,3,7,1,0.1,7,0.2,4,0.4692,0.6313,0.1869,0.9557,98.93,4_Opt_DecExtra,
夏季,20,3,7,1,0.1,9,0.2,4,0.5082,0.6753,0.1917,0.9497,102.29,4_Opt_DecExtra,
夏季,20,3,7,1,0.1,11,0.2,4,0.4687,0.6323,0.1935,0.9561,105.59,4_Opt_DecExtra,
夏季,20,3,7,0.1,0.1,11,0.2,4,0.4688,0.6342,0.1918,0.9556,104.88,5_Opt_RmseWeight,
夏季,20,3,7,0.5,0.1,11,0.2,4,0.4634,0.6275,0.1887,0.9568,99.91,5_Opt_RmseWeight,
夏季,20,3,7,1,0.1,11,0.2,4,0.4687,0.6323,0.1935,0.9561,105.59,5_Opt_RmseWeight,
夏季,20,3,7,1.5,0.1,11,0.2,4,0.4617,0.6252,0.1916,0.9573,106.78,5_Opt_RmseWeight,
夏季,20,3,7,2,0.1,11,0.2,4,0.4628,0.6272,0.1889,0.9569,100.6,5_Opt_RmseWeight,
夏季,20,3,7,1.5,0.01,11,0.2,4,0.4661,0.6278,0.1908,0.9568,98.06,6_Opt_MmdWeight,
夏季,20,3,7,1.5,0.05,11,0.2,4,0.4652,0.6304,0.1881,0.9564,104.05,6_Opt_MmdWeight,
夏季,20,3,7,1.5,0.1,11,0.2,4,0.4617,0.6252,0.1916,0.9573,106.78,6_Opt_MmdWeight,
夏季,20,3,7,1.5,0.2,11,0.2,4,0.4609,0.6239,0.1902,0.9573,100.81,6_Opt_MmdWeight,
夏季,20,3,7,1.5,0.5,11,0.2,4,0.463,0.6271,0.19,0.957,102.66,6_Opt_MmdWeight,
夏季,20,3,7,1.5,0.2,11,0.1,10,0.5535,0.7437,0.2137,0.9353,101.99,7_Opt_MicThreshold,
夏季,20,3,7,1.5,0.2,11,0.15,5,0.4986,0.6685,0.2038,0.9501,104.79,7_Opt_MicThreshold,
夏季,20,3,7,1.5,0.2,11,0.2,4,0.4609,0.6239,0.1902,0.9573,100.81,7_Opt_MicThreshold,
夏季,20,3,7,1.5,0.2,11,0.25,3,0.4854,0.6511,0.2091,0.9524,103.24,7_Opt_MicThreshold,
夏季,20,3,7,1.5,0.2,11,0.3,3,1.6405,1.7548,0.7071,0.7642,98.45,7_Opt_MicThreshold,
秋季,10,3,7,1,0.1,7,0.2,5,0.3859,0.5145,0.1705,0.9837,237.19,1_Opt_Extend,
秋季,15,3,7,1,0.1,7,0.2,5,0.3637,0.4884,0.1566,0.9852,95.75,1_Opt_Extend,
